[2025-08-24 18:07:26] INFO: Library system initialized
[2025-08-24 18:07:26] INFO: Book saved | isbn=9780143127741 title=The Handmaid's Tale
[2025-08-24 18:07:26] INFO: New book added | isbn=9780143127741 title=The Handmaid's Tale
[2025-08-24 18:07:26] INFO: Book saved | isbn=9780452284234 title=1984
[2025-08-24 18:07:26] INFO: New book added | isbn=9780452284234 title=1984
[2025-08-24 18:07:26] INFO: Book saved | isbn=9780060850524 title=Brave New World
[2025-08-24 18:07:26] INFO: New book added | isbn=9780060850524 title=Brave New World
[2025-08-24 18:07:26] INFO: Book saved | isbn=9780141439518 title=Pride and Prejudice
[2025-08-24 18:07:26] INFO: New book added | isbn=9780141439518 title=Pride and Prejudice
[2025-08-24 18:07:26] INFO: Book saved | isbn=9780385472579 title=The Kite Runner
[2025-08-24 18:07:26] INFO: New book added | isbn=9780385472579 title=The Kite Runner
[2025-08-24 18:07:26] INFO: Book saved | isbn=9780439708180 title=Harry Potter and the Sorcerer's Stone
[2025-08-24 18:07:26] INFO: New book added | isbn=9780439708180 title=Harry Potter and the Sorcerer's Stone
[2025-08-24 18:07:26] INFO: Book saved | isbn=9780544003415 title=The Lord of the Rings
[2025-08-24 18:07:26] INFO: New book added | isbn=9780544003415 title=The Lord of the Rings
[2025-08-24 18:07:26] INFO: Book saved | isbn=9780062315007 title=The Alchemist
[2025-08-24 18:07:26] INFO: New book added | isbn=9780062315007 title=The Alchemist
[2025-08-24 18:07:26] INFO: Book saved | isbn=9780316769488 title=The Catcher in the Rye
[2025-08-24 18:07:26] INFO: New book added | isbn=9780316769488 title=The Catcher in the Rye
[2025-08-24 18:07:26] INFO: Book saved | isbn=9780307887894 title=Gone Girl
[2025-08-24 18:07:26] INFO: New book added | isbn=9780307887894 title=Gone Girl
[2025-08-24 18:07:26] INFO: Member saved | member_id=89d91fc7-9dc4-4316-a8fc-63a491f0128a name=Alice Johnson
[2025-08-24 18:07:26] INFO: New member registered | member_id=89d91fc7-9dc4-4316-a8fc-63a491f0128a name=Alice Johnson
[2025-08-24 18:07:26] INFO: Member saved | member_id=278c24fd-99f9-46dd-8ab0-7ab55bf98611 name=Bob Smith
[2025-08-24 18:07:26] INFO: New member registered | member_id=278c24fd-99f9-46dd-8ab0-7ab55bf98611 name=Bob Smith
[2025-08-24 18:07:26] INFO: Member saved | member_id=daae261e-1add-4280-bf12-4df688f2f06e name=Carol Davis
[2025-08-24 18:07:26] INFO: New member registered | member_id=daae261e-1add-4280-bf12-4df688f2f06e name=Carol Davis
[2025-08-24 18:07:26] INFO: Member saved | member_id=71304d73-f579-460c-b677-08475984e2cc name=David Wilson
[2025-08-24 18:07:26] INFO: New member registered | member_id=71304d73-f579-460c-b677-08475984e2cc name=David Wilson
[2025-08-24 18:07:26] INFO: Member saved | member_id=160ed4ad-04f4-451b-915f-08fd33a7db9f name=Emma Brown
[2025-08-24 18:07:26] INFO: New member registered | member_id=160ed4ad-04f4-451b-915f-08fd33a7db9f name=Emma Brown
[2025-08-24 18:07:26] INFO: Member saved | member_id=06993047-330c-4918-85ea-8cc22b08ed14 name=Frank Miller
[2025-08-24 18:07:26] INFO: New member registered | member_id=06993047-330c-4918-85ea-8cc22b08ed14 name=Frank Miller
